lyrics,description,timestamp_start,timestamp_end
Is this the real life? Is this just fantasy?,"A shot of a person looking into a mirror, unsure of what is real and what is not.",0:01,0:08
"Caught in a landslide, no escape from reality","A person standing at the base of a mountain, looking up at a rock slide coming towards them.",0:08,0:16
"Open your eyes, look up to the skies and see","A shot of a person lying on the grass, staring up at the clouds in the sky.",0:16,0:26
"I'm just a poor boy, I need no sympathy","A close-up of a person's face, looking sad and alone.",0:26,0:32
"Because I'm easy come, easy go, little high, little low","A shot of a person on a roller coaster, experiencing highs and lows.",0:32,0:40
"Any way the wind blows doesn't really matter to me, to me","A shot of a person standing on a beach, looking out at the waves crashing on the shore as the wind blows.",0:40,0:53
[Piano],A close shot of a piano,0:53,0:57
"Mama, just killed a man","A person holding a gun, standing over a lifeless body.",0:57,1:03
"Put a gun against his head, pulled my trigger, now he's dead",A close-up of a person's hand holding a gun.,1:03,1:10
"Mama, life had just begun","A shot of a newborn baby in a hospital room, with a happy mother holding it.",1:10,1:16
But now I've gone and thrown it all away,A shot of a person throwing a bunch of papers into a trash can.,1:16,1:23
"Mama, ooh, didn't mean to make you cry","A close-up of a mother's face, crying over something her child did.",1:23,1:34
"If I'm not back again this time tomorrow, carry on, carry on as if nothing really matters","A shot of a person getting into a car and driving away, leaving everything behind.",1:34,1:46
[Piano],A group of musicians performing on stage,1:46,1:56
"Too late, my time has come","A shot of a person lying in a hospital bed, with doctors and family members surrounding them.",1:56,2:02
"Sends shivers down my spine, body's aching all the time","A close-up of a person's face, showing pain and discomfort.",2:02,2:10
"Goodbye, everybody, I've got to go, gotta leave you all behind and face the truth",A shot of a person getting on a plane and flying away.,2:10,2:23
"Mama, ooh (Any way the wind blows), I don't wanna die","A shot of a person looking out the window of an airplane, scared of what's to come.",2:23,2:33
I sometimes wish I'd never been born at all,"A shot of a person standing on the edge of a tall building, contemplating suicide.",2:33,2:40
[Guitar],A person playing the guitar,2:40,3:07
"I see a little silhouetto of a man, Scaramouche, Scaramouche, will you do the Fandango?","A shot of a person at a party, dancing with someone dressed up as Scaramouche.",3:07,3:14
"Thunderbolt and lightning, very, very frightening me","A shot of a person outside during a thunderstorm, lightning striking all around them.",3:14,3:17
"(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro magnifico","A shot of a person playing a guitar, singing these lyrics.",3:17,3:23
"But I'm just a poor boy, nobody loves me","A young man sits alone in a dark room, hunched over, looking sad and dejected.",3:23,3:27
He's just a poor boy from a poor family,"A shot of a poor family sitting around a table, looking sad and defeated.",3:27,3:30
Spare him his life from this monstrosity,A shot of a person pleading for someone else's life.,3:30,3:34
"Easy come, easy go, will you let me go?","A man sitting at a desk surrounded by papers and books, with a look of exhaustion and defeat.",3:34,3:38
"Bismillah! No, we will not let you go","A group of people wearing black and white, standing in a circle around a person in the center, who's begging to be let go.",3:38,3:41
(Let him go) Bismillah! We will not let you go,"A close-up shot of a man's face, looking straight ahead with determination.",3:41,3:44
(Let him go) Bismillah! We will not let you go,"A group of people standing on a rooftop, holding up banners and signs that read ""We will not let you go.""",3:44,3:47
(Let me go) Will not let you go,"A man in a straitjacket, struggling to free himself while being held down by two others.",3:47,3:49
(Let me go) Will not let you go,"A woman standing in front of a door, pushing against it with all her strength, while someone tries to push it open from the other side.",3:49,3:51
"(Never, never, never, never let me go) Ah","A couple holding hands while standing on a beach, looking out at the sunset.",3:51,3:53
"No, no, no, no, no, no, no","A woman shaking her head in disbelief, with tears streaming down her face.",3:53,3:55
"(Oh, mamma mia, mamma mia) Mamma mia, let me go","A man on his knees, begging for mercy, while a group of people stand around him with arms crossed.",3:55,3:59
"Beelzebub has a devil put aside for me, for me, for me!","A close-up shot of a man's face with a mischievous grin on his lips, as he looks directly into the camera.",3:59,4:09
[Guitar],A band performing rock on stage,4:09,4:16
So you think you can stone me and spit in my eye?,A group of people throwing stones and jeering at someone who's lying on the ground.,4:16,4:22
So you think you can love me and leave me to die?,"A couple standing face to face, with the woman holding a knife to the man's throat.",4:22,4:27
"Oh, baby, can't do this to me, baby!","A man and a woman standing on opposite sides of a door, each one holding onto the doorknob, as they try to push it open.",4:27,4:34
"Just gotta get out, just gotta get right outta here","A person running through a crowded street, pushing people out of their way as they try to escape.",4:34,4:40
[Guitar],A person performing with a guitar,4:40,5:01
"(Ooh, yeah, ooh, yeah)","A group of people dancing to the music, with their hands in the air and smiles on their faces.",5:01,5:13
"Nothing really matters, anyone can see","A person standing on a mountaintop, looking out at the vast landscape with a sense of awe and wonder.",5:13,5:20
Nothing really matters,"A person sitting on a bench in a park, watching the world go by with a look of contentment.",5:20,5:24
Nothing really matters to me,"A person lying in bed, staring up at the ceiling with a blank expression on their face.",5:24,5:33
[Piano],A person playing the piano on stage,5:33,5:44
Any way the wind blows,"A person standing on a cliff, with their hair blowing in the wind and their arms outstretched towards the sky.",5:44,5:59