Section,Scene,Prompts
Opening montage,"The camera pans over a deserted cityscape, with tall skyscrapers casting long shadows over the empty streets below. The only sound is the distant hum of a malfunctioning drone hovering in the distance.","Desolate cityscape, post-apocalyptic, towering skyscrapers, somber atmosphere, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, gritty"
,,"Close-up of a swaying traffic light, rusted metal, eerie silence, dramatic lighting, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, moody"
,,"Shattered storefront window, broken glass, debris on the ground, desolate setting, cinematic, high contrast, vandalism-inspired, 4k resolution, digital art, textured"
,,"Rusted bicycle, abandoned, stillness in the air, muted colors, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, desaturated"
,,"Graffiti-covered wall, faded paint, stark contrast, desolate atmosphere, cinematic, high contrast, street art-inspired, 4k resolution, digital art, raw"
,,"Torn billboard, flapping in the wind, post-apocalyptic, dramatic setting, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, gritty"
,,"Abandoned buildings, boarded up windows, post-apocalyptic, somber atmosphere, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, desolate"
,,"Car driving under a bridge, crumbling pillars, dystopian setting, moody lighting, cinematic, high contrast, urban decay-inspired, 4k resolution, digital art, gritty"
,"A driverless car moves slowly through an abandoned street, its headlights piercing through the thick fog that envelops the scene. As it passes a screen displaying an ominous message, the camera zooms in to reveal the distorted image on the screen.","Car turning a corner and disappearing, post-apocalyptic, eerie stillness, dramatic lighting, cinematic, high contrast, dystopian-inspired, 4k resolution, digital art, haunting"
,"A driverless car moves slowly through an abandoned street, its headlights piercing through the thick fog that envelops the scene. As it passes a screen displaying an ominous message, the camera zooms in to reveal the distorted image on the screen.","Abandoned cityscape, post-apocalyptic, eerie fog, cinematic, stark contrast, futuristic, high definition, digital art, atmospheric"
,,"Driving through the fog, dystopian skyline, dimly lit streets, cyberpunk-inspired, high contrast, neon-lit signs, retro-futuristic, stylized"
,,"Graffiti-covered walls, faded colors, abandoned city, urban decay, post-industrial, moody, cinematic, stylized, high definition, dystopian"
,,"Abandoned factory, industrial wasteland, deserted machinery, bleak, post-apocalyptic, cinematic, dystopian, atmospheric, high contrast"
,,"Robotic arm, abandoned control panel, industrial decay, sci-fi inspired, cyberpunk, cinematic, dystopian, high definition, digital art"
,,"Deserted factory floor, deactivated machinery, post-industrial, dystopian, cinematic, high contrast, atmospheric, stylized"
,,"Abandoned industrial complex, empty and desolate, post-apocalyptic, cinematic, dystopian, high definition, atmospheric, digital art"
,"A close-up shot of a robotic arm repeatedly pressing a button on an abandoned control panel. The camera then pans out to show a large, empty factory floor with rows of deactivated machines.","Overgrown wasteland, desolate ruins, post-apocalyptic, dystopian, cinematic, high contrast, atmospheric, stylized, digital art"
,"A close-up shot of a robotic arm repeatedly pressing a button on an abandoned control panel. The camera then pans out to show a large, empty factory floor with rows of deactivated machines.","Darkened city street, urban decay, ominous, haunting, noir-inspired, cinematic, high contrast, cyberpunk-inspired, 4k resolution, digital art, stylized"
,,"Lone figure, mysterious, enigmatic, solitary, cinematic, atmospheric, low light, cyberpunk-inspired, 4k resolution, digital art, stylized"
,"The camera cuts to a darkened city street where a lone figure in a hooded coat walks past flickering streetlights. As they pass a ruined billboard, the camera zooms in on the faded image of a smiling family, a stark contrast to the bleakness of the scene.","Ruined billboard, decayed, abandoned, dystopian, cinematic, atmospheric, high contrast, cyberpunk-inspired, 4k resolution, digital art, stylized"
,"The camera cuts to a darkened city street where a lone figure in a hooded coat walks past flickering streetlights. As they pass a ruined billboard, the camera zooms in on the faded image of a smiling family, a stark contrast to the bleakness of the scene.","Dark and gritty cityscape, ominous atmosphere, hooded figure walking in the night, low-key lighting, film noir-inspired, 1080p resolution, moody"
,,"Urban decay, abandoned billboards, flickering lights, grainy texture, dystopian, 4k resolution, desolate"
,,"A poignant reminder of better times, faded memories, nostalgic, poignant, sepia-toned, sentimental, vintage, evocative"
,,"Spectacular skyline, bright lights, bustling city, vibrant energy, panoramic view, modern, high contrast, neon-lit"
,,"Mysterious and intriguing, inside looking out, voyeuristic, enigmatic, cinematic, 4k resolution, atmospheric, intriguing"
,,"Distorted reality, glitch art, digital noise, cyberpunk-inspired, fragmented, surreal, glitchy, disorienting"
,"The camera shows a series of screens displaying distorted images and garbled messages. As the camera zooms in on one of the screens, the image resolves into a distorted face that seems to stare directly into the camera.","Unnerving stare, ominous presence, distorted visage, creepy, unsettling, enigmatic, cyberpunk-inspired, high contrast"
Virtual reality vignette,"The camera shows the person sitting alone in a darkened room, wearing a virtual reality headset. They appear to be calm and content.","Darkened room, virtual reality headset, calm and content, introspective, meditative, isolated, soothing blue light, digital art-inspired, 1080p resolution, serene"
,,"Peaceful meadow, idyllic setting, new beginnings, nature-inspired, warm and inviting, ethereal, magical, pastel colors, watercolor-inspired, 4k resolution, dreamy"
,,"Golden sunlight, colorful wildflowers, vibrant nature, picturesque, serene and tranquil, sunny, bright and cheerful, Impressionism-inspired, high contrast, 1080p resolution, painterly"
,,"Gentle breeze, rustling leaves, relaxing and calming, nature sounds, Zen, tranquil and soothing, earthy tones, nature-inspired, 4k resolution, serene"
,,"Shimmering lake, distance and depth, peacefulness, quiet reflection, contemplative, tranquil, mirror-like surface, dreamlike, minimalist, 1080p resolution, serene"
,,"Gentle water ripples, reflective surface, calm and serene, peaceful and still, clear blue sky, soothing, Zen-like, watercolor-inspired, 4k resolution, dreamy"
,"The virtual environment is warm and inviting, resembling the loved one's home. The person is greeted by their loved one's voice, which is comforting and familiar.","Cool water, refreshing and invigorating, tactile experience, calming and soothing, crystal-clear, minimalist, simple and clean, abstract-inspired, 1080p resolution, serene"
,"The virtual environment is warm and inviting, resembling the loved one's home. The person is greeted by their loved one's voice, which is comforting and familiar.","Virtual home with subtle distortions, flickering lighting, slightly warped furniture, unsettling atmosphere, 1080p resolution, glitchy effects, ominous"
,,"Virtual home with increasing instability, glitchy artifacts, distorted furniture, tense atmosphere, 4k resolution, unsettling visuals, suspenseful"
,,"Virtual home with intensifying distortion, fragmented surroundings, pixelated visuals, eerie atmosphere, 1080p resolution, glitchy textures, surreal"
,,"Virtual home in chaos, broken and noisy surroundings, distorted sounds, glitchy effects, frenzied atmosphere, 4k resolution, abstract"
,"As the scene progresses, the virtual environment becomes more distorted, with glitches and errors appearing in the simulation. The loved one's voice begins to sound garbled and distant.","Virtual home dissolves into darkness, static and noise, ominous and unsettling atmosphere, 4k resolution, glitchy effects, foreboding"
,"As the scene progresses, the virtual environment becomes more distorted, with glitches and errors appearing in the simulation. The loved one's voice begins to sound garbled and distant.","Dark and unsettling simulation, glitchy artifacts, distorted surroundings, digital corruption, eerie ambiance, surreal atmosphere, sci-fi inspired, high definition, glitch art"
,,"Menacing creatures, fear and panic, distorted environment, digital corruption, dark ambiance, surreal atmosphere, sci-fi inspired, high definition, creature design"
,,"Ominous environment, creatures closing in, distorted surroundings, digital corruption, eerie ambiance, surreal atmosphere, sci-fi inspired, high definition, creature design"
,"The VR environment starts to shift and change, becoming darker and more ominous. Strange creatures begin to appear in the simulation, causing the person to feel fear and panic.","Overwhelming surroundings, dominant creatures, distorted environment, digital corruption, intense emotions, surreal atmosphere, sci-fi inspired, high definition, creature design"
,"The VR environment starts to shift and change, becoming darker and more ominous. Strange creatures begin to appear in the simulation, causing the person to feel fear and panic.","Eerie VR simulation, ominous atmosphere, morphing environment, emerging creatures, panic-inducing, digital art, high contrast"
,,"Menacing creatures, glowing eyes, dark shadows, terrifying presence, nightmarish, gritty, high resolution"
,,"Desperate struggle, claustrophobic VR, thrashing movements, trapped, intense fear, distressing, surreal"
,,"Intense fear, convulsing body, overwhelming terror, immersive VR, glitchy, disturbing, surrealistic"
,,"Desperate screams, overwhelming terror, panic-inducing VR, horror-inspired, twisted, disorienting, digital art"
,"The person tries to remove the VR headset, but it won't come off. They begin to thrash around in the chair, screaming for help.","Succumbing to terror, eerie stillness, harrowing VR simulation, bleak atmosphere, nightmarish, cinematic, dystopian-inspired"
AI-enhanced body,"The person standing in front of the mirror, examining their body.","Person examining their body in mirror, self-reflection, self-improvement, technology, digital enhancement, cinematic, neutral lighting, reflective surface"
,,"Close-up shot of hand activating AI program, futuristic, tech-savvy, digital interface, haptic feedback, 4k resolution, smooth movements"
,,"Glitchy overlay on person's body, distortion, fragmentation, corruption, technological takeover, circuitry-inspired, cyberpunk, high contrast"
,,"Person's body morphing and changing shape, metamorphosis, evolution, growth, futuristic design, sci-fi-inspired, sleek lines, transformation"
,,"Person's face expressionless, lack of emotion, detachment, dehumanization, uncanny valley, AI dominance, cold lighting, neutral backdrop"
,Close-up shots of the person's body changing and morphing under the influence of the AI program.,"Person's body completely transformed, unrecognizable, new identity, cybernetic, digital anatomy, high-tech, futuristic cityscape, neon lights"
,Close-up shots of the person's body changing and morphing under the influence of the AI program.,"Close-up shots, body transformation, digital effects, sci-fi, high contrast, cinematic, 4k resolution, glitchy overlay"
,,"Twisted limbs, sharp angles, hydraulic movement, servo sounds, mechanical texture, futuristic"
,,"Featureless face, glowing eyes, wires and cables, exposed circuits, cold and dark atmosphere, cybernetic"
,,"Full machine form, sleek and polished surfaces, advanced technology, artificial intelligence, dystopian, otherworldly"
,,"Motionless figure, robotic stillness, metallic textures, bleak and lifeless atmosphere, post-human, uncanny valley"
,"Final shot of the person, barely recognizable as human, standing motionless in front of the mirror, while the machine's voice continues to speak in the background.","Barely recognizable, cold and inhuman, unfeeling metal, stark and empty space, haunting, unsettling"
Abandoned city,"Shots of the person walking through the empty streets of the ruined city, with crumbling buildings and debris visible in the background.","A desolate city street, debris and rubble scattered everywhere Atmospheric, high contrast, cinematic, digital art, post-apocalyptic"
,,"The person walking through a maze of destroyed buildings, their path illuminated by the flickering light of a broken street lamp, eerie, haunting, dark, urban decay, broken beauty, cyberpunk"
,,"The person arrives at a massive ruined skyscraper, its shattered windows and twisted metal towering above them, impressive, majestic, post-industrial, epic, towering, monolithic"
,"A haunting shot of the person standing in front of a ruined skyscraper, looking up at the twisted metal and broken glass that once made up its façade.","A haunting shot of the person standing at the foot of the skyscraper, gazing up at its twisted metal and broken glass facade, lonely, contemplative, apocalyptic, abandoned, dystopian, melancholic"
,"A haunting shot of the person standing in front of a ruined skyscraper, looking up at the twisted metal and broken glass that once made up its façade.","A ruined city, skyscraper in the background, gritty, desolate, dystopian, post-apocalyptic, decay, decayed buildings"
,,"A ruined city skyline, clouds gathering in the distance, ominous, dark, foreboding, decayed buildings, gritty, desolate"
,,"A rooftop over a ruined city, person sitting and watching the sunset, calm, serene, post-apocalyptic, decayed buildings, distant clouds"
,"A shot of the person sitting on a rooftop, watching the sun set over the ruined city, with dark clouds gathering in the distance.","A ruined city rooftop at sunset, clouds in the distance, person watching the sunset, calm, serene, post-apocalyptic, decayed buildings, distant clouds, high contrast, cinematic"
,"A shot of the person sitting on a rooftop, watching the sun set over the ruined city, with dark clouds gathering in the distance.","A ruined city at night, moon and stars, haunting, post-apocalyptic, low key lighting, 4k resolution"
,"A sweeping shot of the city at night, with only the moon and stars providing any illumination, casting eerie shadows across the deserted streets.","A sweeping shot of the ruined city at night, deserted streets, eerie shadows, ominous, dystopian, high contrast"
Closing shot,A slow zoom-in shot of the person's face as they stare out at the ruins in the distance.,"A slow zoom-in shot, person's face, ruins in the distance, cinematic, high contrast, 4k resolution, digital art”"
,,"The person's face fills the frame, tears streaming down their cheeks, dramatic lighting, high resolution, vivid colors”"
,,"The ruins come into focus behind the person's head, blurred focus, cinematic, somber, high resolution”"
,,"A wide shot of the ruins, person standing in the middle, epic, wide angle, high definition, muted tones”"
,The camera pans out to show the person standing alone in the middle of the ruins.,"The person stands alone in the midst of the ruins, a small figure in a sea of destruction, dramatic, high contrast, low saturation, cinematic”"
,The camera pans out to show the person standing alone in the middle of the ruins.,"Person in ruins, bleak, post-apocalyptic, cinematic, high contrast, 4k resolution, digital art"
,,"Person standing alone in center of ruins, vast, cinematic, post-apocalyptic, high contrast, 4k resolution, digital art"
,,"Ruined landscape, vast, post-apocalyptic, desolate, cinematic, high contrast, 4k resolution, digital art"
,,"Vastness of destruction, post-apocalyptic, cinematic, high contrast, 4k resolution, digital art"
,"A final shot of the post-apocalyptic ruins, emphasizing the vastness of the destruction, before fading to black.","Final shot of post-apocalyptic ruins, vastness of destruction, bleak, cinematic, high contrast, 4k resolution, digital art"
